[2025-08-27 21:41:46,936] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=500
[2025-08-27 21:41:49,845] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:34246 has closed.
[2025-08-27 21:41:49,846] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:41:54,337] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:41:54,337] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:41:54,337] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:60208 has connected.
[2025-08-27 21:41:58,856] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=32
[2025-08-27 21:41:58,856] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=40
[2025-08-27 21:41:58,856] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:41:59,966] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:41:59,966] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=554
[2025-08-27 21:42:22,093] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=52
[2025-08-27 21:42:22,093] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=60
[2025-08-27 21:42:22,093] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:42:23,348] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:42:23,349] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=546
[2025-08-27 21:42:35,581] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:60208 has closed.
[2025-08-27 21:42:35,581] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:44:52,524] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-27 21:44:52,528] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:30:stop] SearchEngineServer stop ...
[2025-08-27 21:44:55,530] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-27 21:44:55,531] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:22:start] SearchEngineServer start ...
[2025-08-27 21:44:57,389] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:44:57,389] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:44:57,389] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:36984 has connected.
[2025-08-27 21:45:05,970] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
[2025-08-27 21:45:05,970] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=14
[2025-08-27 21:45:05,970] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:45:06,766] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=1799
[2025-08-27 21:48:19,698] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=2
[2025-08-27 21:48:19,698] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=10
[2025-08-27 21:48:19,698] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:48:20,419] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:93:doTaskThread] Query result sent to client
[2025-08-27 21:48:20,419] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=493
[2025-08-27 21:48:26,023] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=3
[2025-08-27 21:48:26,024] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=11
[2025-08-27 21:48:26,024] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:48:26,683] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:93:doTaskThread] Query result sent to client
[2025-08-27 21:48:26,683] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=333
[2025-08-27 21:48:40,110] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=2
[2025-08-27 21:48:40,110] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=10
[2025-08-27 21:48:40,110] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:48:40,880] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=77
[2025-08-27 21:48:48,022] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=4
[2025-08-27 21:48:48,022] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=12
[2025-08-27 21:48:48,022] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:48:48,745] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=79
[2025-08-27 21:55:04,068] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:36984 has closed.
[2025-08-27 21:55:04,068] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:55:05,942] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-27 21:55:05,952] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:30:stop] SearchEngineServer stop ...
[2025-08-28 12:40:10,047] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-28 12:40:10,049] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:25:start] SearchEngineServer start ...
[2025-08-28 12:40:13,867] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-28 12:40:13,868] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-28 12:40:13,868] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:39:onConnection] 127.0.0.1:8888->127.0.0.1:50442 has connected.
[2025-08-28 12:40:26,654] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=12
[2025-08-28 12:40:26,654] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=20
[2025-08-28 12:40:26,654] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 12:40:26,685] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 12:40:26,685] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=1904
[2025-08-28 12:40:59,903] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=18
[2025-08-28 12:40:59,903] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=26
[2025-08-28 12:40:59,903] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 12:40:59,911] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 12:40:59,911] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=418
[2025-08-28 12:41:05,416] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
[2025-08-28 12:41:05,416] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=14
[2025-08-28 12:41:05,416] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 12:41:05,421] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 12:41:05,421] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=394
[2025-08-28 12:41:14,303] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
